categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
bird,wn_hypernym,0.3193725495,-,True,-,solitaire,solitaire,1806,True,True,4,0,4,0.08695652173913043,0.2841714885955923,poly,,abs-conc,,,,lay_eggs,solitaire
bird,wn_hypernym,0.2998717208,-,True,-,serin,serin,178,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,serin
bird,wn_hypernym,0.2823258247,-,True,-,flicker,flicker,1548,True,True,3,1,6,0.09090909090909091,0.24147426647426648,homonyms_only_different_pos,,abs-conc,415,470,,lay_eggs,flicker
bird,wn_hypernym,0.3213737622,-,True,-,nester,nester,192,True,True,1,0,2,0.5454545454545454,0.5454545454545454,,,conc,,,,lay_eggs,nester
fish,wn_hypernym,0.3960999162,-,True,-,skipjack,skipjack,540,True,True,2,0,3,0.45161290322580644,0.6108550947260625,,,conc,,,,lay_eggs,skipjack
fish,wn_hypernym,0.3617964522,-,True,-,silverfish,silverfish,199,True,True,2,0,2,0.4666666666666667,0.4666666666666667,mon,,conc,,,,lay_eggs,silverfish
bird,wn_hypernym,0.3293971463,-,True,-,peacock,peacock,7844,True,True,1,0,2,0.5185185185185185,0.5185185185185185,poly,,conc,,,,lay_eggs,peacock
bird,wn_hypernym,0.3144333909,-,True,-,condor,condor,4258,True,True,0,0,1,1.0,1.0,mon,,conc,,,,lay_eggs,condor
bird,wn_hypernym,0.3226651791,-,True,-,quetzal,quetzal,559,True,True,2,0,2,0.1,0.1,poly,,abs-conc,,,,lay_eggs,quetzal
bird,wn_hypernym,0.298216184,-,True,-,cock,cock,4137,True,True,5,4,8,0.17391304347826086,0.33455355124251446,homonyms_also_same_pos,met,conc,611,434,314,lay_eggs,cock
